20_to_25,25_to_30,30_to_35,35_to_40,40_to_45
0.0,97.0,495,593.0,0.0
0.0,2.0,284,593.0,0.0
0.0,191.0,284,0.0,0.0
0.0,242.0,634,445.0,0.0
0.0,299.0,267,391.0,0.0
0.0,347.0,473,365.0,0.0
0.0,188.0,384,478.0,0.0
0.0,125.0,302,501.0,0.0
0.0,294.0,185,384.0,0.0
0.0,489.0,228,476.0,0.0
0.0,395.0,1929,166.0,0.0
0.0,119.0,427,206.0,0.0
0.0,0.0,0,476.0,0.0
0.0,402.0,428,137.0,0.0
0.0,260.0,485,0.0,0.0
0.0,495.0,356,278.0,0.0
0.0,300.0,460,392.0,0.0
0.0,512.0,327,409.0,0.0
0.0,359.0,226,369.0,0.0
0.0,311.0,412,433.0,0.0
0.0,394.0,454,170.0,0.0
0.0,444.0,294,99.0,0.0
0.0,279.0,0,133.0,0.0
0.0,444.0,219,369.0,0.0
0.0,353.0,425,0.0,0.0
0.0,18.0,0,11.0,0.0
0.0,425.0,0,227.0,0.0
0.0,0.0,539,11.0,0.0
0.0,462.0,144,0.0,0.0
0.0,373.0,297,228.0,0.0
0.0,0.0,496,263.0,0.0
0.0,472.0,169,262.0,0.0
0.0,381.0,284,386.0,0.0
0.0,298.0,159,466.0,0.0
0.0,452.0,538,433.0,0.0
0.0,505.0,26,317.0,0.0
0.0,0.0,434,136.0,0.0
0.0,0.0,0,433.0,0.0
0.0,0.0,322,383.0,0.0
0.0,111.0,230,210.0,0.0
0.0,475.0,0,298.0,0.0
0.0,633.0,475,394.0,0.0
0.0,836.0,629,376.0,0.0
0.0,517.0,240,207.0,0.0
0.0,0.0,543,237.0,0.0
0.0,545.0,272,436.0,0.0
0.0,1.0,1,390.0,0.0
0.0,490.0,557,180.0,0.0
0.0,0.0,1845,506.0,0.0
0.0,357.0,858,188.0,0.0
0.0,0.0,326,184.0,0.0
0.0,603.0,207,394.0,0.0
0.0,262.0,437,310.0,0.0
0.0,731.0,208,277.0,0.0
0.0,463.0,425,0.0,0.0
0.0,340.0,225,0.0,0.0
0.0,488.0,164,580.0,0.0
0.0,132.0,458,416.0,0.0
0.0,413.0,604,0.0,0.0
0.0,314.0,604,0.0,0.0
0.0,453.0,236,136.0,0.0
0.0,582.0,370,353.0,0.0
0.0,6.0,281,338.0,0.0
0.0,333.0,6,374.0,0.0
0.0,0.0,0,382.0,0.0
0.0,509.0,486,346.0,0.0
0.0,93.0,370,439.0,0.0
0.0,397.0,0,348.0,0.0
0.0,360.0,127,94.0,0.0
0.0,275.0,462,447.0,0.0
0.0,477.0,383,406.0,0.0
0.0,249.0,376,371.0,0.0
0.0,435.0,423,300.0,0.0
0.0,426.0,633,564.0,0.0
0.0,0.0,303,258.0,0.0
0.0,459.0,395,389.0,0.0
0.0,201.0,504,330.0,0.0
0.0,356.0,450,332.0,0.0
0.0,316.0,1,56.0,0.0
0.0,417.0,139,650.0,0.0
0.0,303.0,195,226.0,0.0
0.0,306.0,136,221.0,0.0
0.0,437.0,323,175.0,0.0
0.0,0.0,253,0.0,0.0
0.0,340.0,353,360.0,0.0
0.0,569.0,331,371.0,0.0
0.0,0.0,154,400.0,0.0
0.0,427.0,196,303.0,0.0
0.0,0.0,426,108.0,0.0
0.0,402.0,276,455.0,0.0
0.0,358.0,305,585.0,0.0
0.0,467.0,522,0.0,0.0
0.0,325.0,458,403.0,0.0
0.0,488.0,364,154.0,0.0
0.0,371.0,349,207.0,0.0
0.0,228.0,140,526.0,0.0
0.0,276.0,98,289.0,0.0
0.0,478.0,341,330.0,0.0
0.0,152.0,191,296.0,0.0
0.0,408.0,3,139.0,0.0
0.0,0.0,446,521.0,0.0
0.0,0.0,582,180.0,0.0
0.0,420.0,11,330.0,0.0
0.0,442.0,8,489.0,0.0
0.0,0.0,250,412.0,0.0
0.0,242.0,305,478.0,0.0
0.0,320.0,0,530.0,0.0
0.0,0.0,11,297.0,0.0
0.0,168.0,8,383.0,0.0
0.0,434.0,0,482.0,0.0
0.0,315.0,0,437.0,0.0
0.0,292.0,0,483.0,0.0
0.0,163.0,0,503.0,0.0
0.0,415.0,147,357.0,0.0
0.0,426.0,0,541.0,0.0
0.0,374.0,272,577.0,0.0
0.0,346.0,332,213.0,0.0
0.0,300.0,0,221.0,0.0
0.0,327.0,348,221.0,0.0
0.0,529.0,284,0.0,0.0
0.0,467.0,0,211.0,0.0
0.0,368.0,555,470.0,0.0
0.0,259.0,553,0.0,0.0
0.0,358.0,495,370.0,0.0
0.0,379.0,446,272.0,0.0
0.0,384.0,402,0.0,0.0
0.0,286.0,418,537.0,0.0
0.0,2655.0,495,0.0,0.0
0.0,415.0,321,405.0,0.0
0.0,438.0,390,9.0,0.0
0.0,183.0,437,416.0,0.0
0.0,581.0,293,259.0,0.0
0.0,564.0,458,352.0,0.0
0.0,222.0,0,104.0,0.0
0.0,472.0,560,274.0,0.0
0.0,163.0,268,0.0,0.0
0.0,190.0,424,555.0,0.0
0.0,401.0,310,300.0,0.0
0.0,501.0,240,451.0,0.0
0.0,564.0,459,100.0,0.0
0.0,423.0,404,106.0,0.0
0.0,396.0,0,504.0,0.0
0.0,349.0,379,396.0,0.0
0.0,462.0,0,225.0,0.0
0.0,178.0,346,510.0,0.0
0.0,425.0,577,303.0,0.0
0.0,246.0,3,286.0,0.0
0.0,634.0,568,167.0,0.0
0.0,105.0,336,138.0,0.0
0.0,343.0,0,564.0,0.0
0.0,0.0,0,286.0,0.0
0.0,245.0,9,526.0,0.0
0.0,139.0,728,179.0,0.0
0.0,0.0,333,173.0,0.0
0.0,454.0,0,1990.0,0.0
0.0,425.0,548,503.0,0.0
0.0,0.0,188,445.0,0.0
0.0,469.0,302,426.0,0.0
0.0,315.0,253,0.0,0.0
0.0,0.0,487,1992.0,0.0
0.0,74.0,3288,308.0,0.0
0.0,519.0,468,499.0,0.0
0.0,481.0,305,277.0,0.0
0.0,469.0,468,787.0,0.0
0.0,814.0,601,449.0,0.0
0.0,547.0,447,0.0,0.0
0.0,444.0,226,0.0,0.0
0.0,382.0,2,135.0,0.0
0.0,516.0,511,691.0,0.0
0.0,452.0,461,622.0,0.0
0.0,0.0,420,622.0,0.0
0.0,193.0,420,0.0,0.0
0.0,6.0,420,465.0,0.0
0.0,750.0,423,465.0,0.0
0.0,376.0,224,351.0,0.0
0.0,0.0,0,106.0,0.0
0.0,11.0,0,117.0,0.0
0.0,0.0,335,136.0,0.0
0.0,0.0,385,433.0,0.0
0.0,0.0,501,662.0,0.0
0.0,0.0,375,435.0,0.0
0.0,0.0,216,55.0,0.0
0.0,0.0,199,213.0,0.0
0.0,0.0,489,457.0,0.0
0.0,0.0,0,346.0,0.0
0.0,0.0,0,377.0,0.0
0.0,0.0,388,224.0,0.0
0.0,0.0,180,398.0,0.0
0.0,0.0,663,316.0,0.0
0.0,0.0,408,534.0,0.0
0.0,0.0,408,204.0,0.0
0.0,0.0,423,423.0,0.0
0.0,0.0,431,427.0,0.0
0.0,0.0,0,583.0,0.0
0.0,0.0,478,0.0,0.0
0.0,0.0,567,661.0,0.0
0.0,0.0,423,526.0,0.0
0.0,0.0,457,448.0,0.0
0.0,0.0,576,359.0,0.0
0.0,0.0,365,437.0,0.0
0.0,0.0,381,430.0,0.0
0.0,0.0,0,461.0,0.0
0.0,0.0,260,242.0,0.0
0.0,0.0,441,259.0,0.0
0.0,0.0,110,308.0,0.0
0.0,0.0,189,285.0,0.0
0.0,0.0,0,391.0,0.0
0.0,0.0,0,338.0,0.0
0.0,0.0,504,470.0,0.0
0.0,0.0,420,368.0,0.0
0.0,0.0,404,277.0,0.0
0.0,0.0,262,0.0,0.0
0.0,0.0,394,379.0,0.0
0.0,0.0,229,327.0,0.0
0.0,0.0,8,160.0,0.0
0.0,0.0,505,473.0,0.0
0.0,0.0,300,604.0,0.0
0.0,0.0,529,577.0,0.0
0.0,0.0,448,664.0,0.0
0.0,0.0,313,358.0,0.0
0.0,0.0,178,189.0,0.0
0.0,0.0,213,663.0,0.0
0.0,0.0,2,536.0,0.0
0.0,0.0,235,510.0,0.0
0.0,0.0,0,668.0,0.0
0.0,0.0,287,337.0,0.0
0.0,0.0,462,542.0,0.0
0.0,0.0,115,322.0,0.0
0.0,0.0,470,0.0,0.0
0.0,0.0,576,223.0,0.0
0.0,0.0,316,349.0,0.0
0.0,0.0,293,330.0,0.0
0.0,0.0,419,0.0,0.0
0.0,0.0,436,268.0,0.0
0.0,0.0,174,46.0,0.0
0.0,0.0,104,268.0,0.0
0.0,0.0,0,177.0,0.0
0.0,0.0,524,0.0,0.0
0.0,0.0,240,51.0,0.0
0.0,0.0,361,231.0,0.0
0.0,0.0,251,89.0,0.0
0.0,0.0,235,301.0,0.0
0.0,0.0,526,0.0,0.0
0.0,0.0,375,141.0,0.0
0.0,0.0,164,0.0,0.0
0.0,0.0,382,169.0,0.0
0.0,0.0,390,275.0,0.0
0.0,0.0,379,0.0,0.0
0.0,0.0,254,389.0,0.0
0.0,0.0,457,467.0,0.0
0.0,0.0,485,173.0,0.0
0.0,0.0,480,475.0,0.0
0.0,0.0,246,450.0,0.0
0.0,0.0,696,368.0,0.0
0.0,0.0,0,379.0,0.0
0.0,0.0,306,542.0,0.0
0.0,0.0,486,439.0,0.0
0.0,0.0,229,337.0,0.0
0.0,0.0,0,363.0,0.0
0.0,0.0,536,46.0,0.0
0.0,0.0,513,95.0,0.0
0.0,0.0,259,142.0,0.0
0.0,0.0,38,163.0,0.0
0.0,0.0,398,214.0,0.0
0.0,0.0,442,87.0,0.0
0.0,0.0,283,301.0,0.0
0.0,0.0,474,398.0,0.0
0.0,0.0,403,380.0,0.0
0.0,0.0,134,226.0,0.0
0.0,0.0,352,226.0,0.0
0.0,0.0,0,342.0,0.0
0.0,0.0,584,378.0,0.0
0.0,0.0,404,314.0,0.0
0.0,0.0,413,202.0,0.0
0.0,0.0,452,361.0,0.0
0.0,0.0,183,453.0,0.0
0.0,0.0,408,304.0,0.0
0.0,0.0,373,161.0,0.0
0.0,0.0,337,597.0,0.0
0.0,0.0,363,193.0,0.0
0.0,0.0,521,597.0,0.0
0.0,0.0,138,217.0,0.0
0.0,0.0,326,259.0,0.0
0.0,0.0,299,354.0,0.0
0.0,0.0,0,57.0,0.0
0.0,0.0,331,228.0,0.0
0.0,0.0,225,228.0,0.0
0.0,0.0,249,290.0,0.0
0.0,0.0,199,316.0,0.0
0.0,0.0,787,275.0,0.0
0.0,0.0,433,461.0,0.0
0.0,0.0,473,344.0,0.0
0.0,0.0,545,344.0,0.0
0.0,0.0,0,423.0,0.0
0.0,0.0,47,72.0,0.0
0.0,0.0,38,111.0,0.0
0.0,0.0,298,143.0,0.0
0.0,0.0,444,406.0,0.0
0.0,0.0,261,1.0,0.0
0.0,0.0,106,178.0,0.0
0.0,0.0,634,320.0,0.0
0.0,0.0,193,0.0,0.0
0.0,0.0,211,345.0,0.0
0.0,0.0,2,357.0,0.0
0.0,0.0,258,199.0,0.0
0.0,0.0,162,231.0,0.0
0.0,0.0,302,154.0,0.0
0.0,0.0,398,578.0,0.0
0.0,0.0,231,264.0,0.0
0.0,0.0,349,410.0,0.0
0.0,0.0,457,232.0,0.0
0.0,0.0,834,281.0,0.0
0.0,0.0,303,216.0,0.0
0.0,0.0,280,593.0,0.0
0.0,0.0,239,35.0,0.0
0.0,0.0,425,355.0,0.0
0.0,0.0,161,321.0,0.0
0.0,0.0,787,352.0,0.0
0.0,0.0,229,320.0,0.0
0.0,0.0,301,655.0,0.0
0.0,0.0,424,3.0,0.0
0.0,0.0,180,0.0,0.0
0.0,0.0,0,474.0,0.0
0.0,0.0,77,281.0,0.0
0.0,0.0,469,7.0,0.0
0.0,0.0,1,370.0,0.0
0.0,0.0,490,2.0,0.0
0.0,0.0,283,433.0,0.0
0.0,0.0,501,516.0,0.0
0.0,0.0,0,516.0,0.0
0.0,0.0,191,540.0,0.0
0.0,0.0,112,4.0,0.0
0.0,0.0,390,4.0,0.0
0.0,0.0,489,436.0,0.0
0.0,0.0,164,474.0,0.0
0.0,0.0,272,0.0,0.0
0.0,0.0,272,0.0,0.0
0.0,0.0,0,555.0,0.0
0.0,0.0,522,1.0,0.0
0.0,0.0,0,314.0,0.0
0.0,0.0,121,194.0,0.0
0.0,0.0,271,358.0,0.0
0.0,0.0,0,0.0,0.0
0.0,0.0,271,322.0,0.0
0.0,0.0,37,0.0,0.0
0.0,0.0,271,0.0,0.0
0.0,0.0,259,0.0,0.0
0.0,0.0,515,134.0,0.0
0.0,0.0,470,443.0,0.0
0.0,0.0,277,0.0,0.0
0.0,0.0,285,185.0,0.0
0.0,0.0,445,0.0,0.0
0.0,0.0,509,0.0,0.0
0.0,0.0,57,0.0,0.0
0.0,0.0,4,0.0,0.0
0.0,0.0,507,0.0,0.0
0.0,0.0,191,0.0,0.0
0.0,0.0,600,0.0,0.0
0.0,0.0,517,0.0,0.0
0.0,0.0,177,110.0,0.0
0.0,0.0,265,185.0,0.0
0.0,0.0,487,8.0,0.0
0.0,0.0,331,0.0,0.0
0.0,0.0,131,11.0,0.0
0.0,0.0,0,0.0,0.0
0.0,0.0,455,484.0,0.0
0.0,0.0,614,0.0,0.0
0.0,0.0,284,266.0,0.0
0.0,0.0,284,371.0,0.0
0.0,0.0,551,0.0,0.0
0.0,0.0,234,81.0,0.0
0.0,0.0,607,510.0,0.0
0.0,0.0,99,515.0,0.0
0.0,0.0,322,481.0,0.0
0.0,0.0,416,264.0,0.0
0.0,0.0,158,329.0,0.0
0.0,0.0,486,0.0,0.0
0.0,0.0,240,560.0,0.0
0.0,0.0,264,0.0,0.0
0.0,0.0,351,443.0,0.0
0.0,0.0,281,250.0,0.0
0.0,0.0,352,522.0,0.0
0.0,0.0,532,305.0,0.0
0.0,0.0,517,278.0,0.0
0.0,0.0,271,464.0,0.0
0.0,0.0,68,406.0,0.0
0.0,0.0,271,370.0,0.0
0.0,0.0,596,317.0,0.0
0.0,0.0,402,490.0,0.0
0.0,0.0,488,0.0,0.0
0.0,0.0,325,402.0,0.0
0.0,0.0,516,582.0,0.0
0.0,0.0,4,521.0,0.0
0.0,0.0,414,639.0,0.0
0.0,0.0,8,420.0,0.0
0.0,0.0,0,380.0,0.0
0.0,0.0,334,313.0,0.0
0.0,0.0,11,244.0,0.0
0.0,0.0,244,0.0,0.0
0.0,0.0,0,397.0,0.0
0.0,0.0,0,343.0,0.0
0.0,0.0,0,501.0,0.0
0.0,0.0,0,2.0,0.0
0.0,0.0,14,294.0,0.0
0.0,0.0,0,1.0,0.0
0.0,0.0,0,577.0,0.0
0.0,0.0,398,462.0,0.0
0.0,0.0,316,351.0,0.0
0.0,0.0,395,315.0,0.0
0.0,0.0,270,412.0,0.0
0.0,0.0,367,516.0,0.0
0.0,0.0,351,467.0,0.0
0.0,0.0,0,0.0,0.0
0.0,0.0,539,1.0,0.0
0.0,0.0,387,294.0,0.0
0.0,0.0,550,493.0,0.0
0.0,0.0,470,377.0,0.0
0.0,0.0,0,0.0,0.0
0.0,0.0,405,9.0,0.0
0.0,0.0,0,488.0,0.0
0.0,0.0,0,285.0,0.0
0.0,0.0,469,391.0,0.0
0.0,0.0,447,378.0,0.0
0.0,0.0,0,504.0,0.0
0.0,0.0,439,571.0,0.0
0.0,0.0,526,599.0,0.0
0.0,0.0,332,467.0,0.0
0.0,0.0,268,477.0,0.0
0.0,0.0,569,420.0,0.0
0.0,0.0,393,588.0,0.0
0.0,0.0,565,337.0,0.0
0.0,0.0,0,444.0,0.0
0.0,0.0,233,28.0,0.0
0.0,0.0,20786,343.0,0.0
0.0,0.0,652,657.0,0.0
0.0,0.0,266,502.0,0.0
0.0,0.0,449,502.0,0.0
0.0,0.0,449,358.0,0.0
0.0,0.0,449,388.0,0.0
0.0,0.0,442,404.0,0.0
0.0,0.0,655,401.0,0.0
0.0,0.0,523,451.0,0.0
0.0,0.0,490,6.0,0.0
0.0,0.0,377,316.0,0.0
0.0,0.0,252,536.0,0.0
0.0,0.0,0,270.0,0.0
0.0,0.0,297,264.0,0.0
0.0,0.0,0,225.0,0.0
0.0,0.0,214,284.0,0.0
0.0,0.0,508,611.0,0.0
0.0,0.0,475,611.0,0.0
0.0,0.0,416,521.0,0.0
0.0,0.0,0,423.0,0.0
0.0,0.0,410,390.0,0.0
0.0,0.0,377,237.0,0.0
0.0,0.0,369,559.0,0.0
0.0,0.0,412,396.0,0.0
0.0,0.0,0,322.0,0.0
0.0,0.0,444,577.0,0.0
0.0,0.0,275,573.0,0.0
0.0,0.0,198,238.0,0.0
0.0,0.0,196,742.0,0.0
0.0,0.0,270,292.0,0.0
0.0,0.0,484,479.0,0.0
0.0,0.0,270,422.0,0.0
0.0,0.0,326,181.0,0.0
0.0,0.0,548,501.0,0.0
0.0,0.0,473,0.0,0.0
0.0,0.0,425,0.0,0.0
0.0,0.0,0,551.0,0.0
0.0,0.0,406,415.0,0.0
0.0,0.0,469,0.0,0.0
0.0,0.0,250,386.0,0.0
0.0,0.0,432,0.0,0.0
0.0,0.0,432,499.0,0.0
0.0,0.0,461,382.0,0.0
0.0,0.0,527,0.0,0.0
0.0,0.0,354,354.0,0.0
0.0,0.0,379,320.0,0.0
0.0,0.0,525,869.0,0.0
0.0,0.0,392,580.0,0.0
0.0,0.0,571,406.0,0.0
0.0,0.0,693,356.0,0.0
0.0,0.0,481,457.0,0.0
0.0,0.0,470,0.0,0.0
0.0,0.0,299,136.0,0.0
0.0,0.0,525,124.0,0.0
0.0,0.0,227,326.0,0.0
0.0,0.0,448,548.0,0.0
0.0,0.0,306,342.0,0.0
0.0,0.0,484,241.0,0.0
0.0,0.0,396,399.0,0.0
0.0,0.0,285,257.0,0.0
0.0,0.0,470,306.0,0.0
0.0,0.0,0,528.0,0.0
0.0,0.0,310,131.0,0.0
0.0,0.0,401,409.0,0.0
0.0,0.0,401,576.0,0.0
0.0,0.0,376,312.0,0.0
0.0,0.0,449,313.0,0.0
0.0,0.0,402,198.0,0.0
0.0,0.0,423,423.0,0.0
0.0,0.0,657,642.0,0.0
0.0,0.0,467,423.0,0.0
0.0,0.0,0,482.0,0.0
0.0,0.0,0,524.0,0.0
0.0,0.0,409,309.0,0.0
0.0,0.0,322,467.0,0.0
0.0,0.0,408,610.0,0.0
0.0,0.0,395,529.0,0.0
0.0,0.0,878,330.0,0.0
0.0,0.0,355,187.0,0.0
